packet_timestamp,time,vel_x,vel_y,vel_z,vel_mag
5290.25,5290.55,7.409999999999999,0.0,-0.2,7.412698804913456
5290.25,5290.65,7.689999999999999,0.0,-0.2,7.692600821759015
5290.25,5290.75,7.939999999999999,0.0,-0.2,7.942518746958609
5290.25,5290.85,8.209999999999999,0.0,-0.2,8.212436089656428
5290.25,5290.95,8.344444444444445,0.0,-0.2,8.346841067065483
5290.25,5291.05,8.629999999999999,0.0,-0.2,8.632317749590205
5290.25,5291.15,8.88888888888889,0.0,-0.2,8.891138758556803
5291.25,5291.25,9.099999999999998,0.0,-0.2,9.10219758990745
5291.25,5291.35,9.3,0.0,-0.25,9.30349111313416
5291.25,5291.45,9.53,0.0,-0.2899999999999999,9.534455321638706
5291.25,5291.55,9.75,0.0,-0.2999999999999999,9.754614607921768
5291.25,5291.65,9.877777777777778,-0.0111111111111111,-0.3,9.882388578842615
5291.25,5291.75,10.02,-0.01,-0.2999999999999999,10.024540239057492
5291.25,5291.85,10.19,0.0,-0.2999999999999999,10.1944151762408
5291.25,5291.95,10.27,-0.01,-0.2999999999999999,10.274428985489717
5291.25,5292.05,10.43,-0.03,-0.2999999999999999,10.434457081089146
5291.25,5292.15,10.577777777777778,0.0,-0.3,10.582031274171536
5292.25,5292.25,10.739999999999998,-0.04,-0.2999999999999999,10.744375188170936
5292.25,5292.35,10.890909090909092,-0.0636363636363636,-0.2999999999999999,10.895332401810265
5292.25,5292.45,11.011111111111113,-0.0666666666666666,-0.3,11.0155001618348
5292.25,5292.55,11.09,-0.08,-0.2999999999999999,11.094417365047104
5292.25,5292.65,11.233333333333333,-0.0777777777777777,-0.3777777777777777,11.24010491061196
5292.25,5292.75,11.38,-0.1,-0.3199999999999999,11.385009308896889
5292.25,5292.85,11.41818181818182,-0.1,-0.2999999999999999,11.422560009336866
5292.25,5292.95,11.488888888888887,-0.1111111111111111,-0.3777777777777777,11.495750935698396
5292.25,5293.05,11.55,-0.11,-0.37,11.556579018660408
5292.25,5293.15,11.589999999999998,-0.12,-0.4,11.59759008211292
5293.25,5293.25,11.622222222222222,-0.1222222222222222,-0.4,11.629820750022354
5293.25,5293.35,11.69090909090909,-0.1636363636363636,-0.3727272727272727,11.698178395682357
5293.25,5293.45,11.677777777777775,-0.1666666666666666,-0.3888888888888889,11.685577514902391
5293.25,5293.55,11.57,-0.19,-0.4,11.578510730699168
5293.25,5293.65,11.444444444444445,-0.2,-0.4,11.453179139567975
5293.25,5293.75,11.377777777777778,-0.2,-0.4,11.386563565877134
5293.25,5293.85,11.381818181818184,-0.1818181818181818,-0.4,11.390361772737611
5293.25,5293.95,11.31,-0.2,-0.4,11.318838341240346
5293.25,5294.05,11.25,-0.2,-0.39,11.25857326049303
5293.25,5294.15,11.133333333333333,-0.2,-0.4,11.142311909131449
5294.25,5294.25,11.1,-0.2,-0.4,11.109005356016352
5294.25,5294.35,11.063636363636364,-0.2,-0.4,11.072671464962518
5294.25,5294.45,10.99,-0.22,-0.38,10.998915757926314
5294.25,5294.55,10.87,-0.2799999999999999,-0.4,10.881035386301964
5294.25,5294.65,10.8,-0.2888888888888888,-0.4,10.811310924963813
5294.25,5294.75,10.74,-0.29,-0.36,10.75009725245624
5294.25,5294.85,10.69,-0.2999999999999999,-0.39,10.701360079306903
5294.25,5294.95,10.57,-0.2999999999999999,-0.4,10.58181953665859
5294.25,5295.05,10.49,-0.2999999999999999,-0.3099999999999999,10.49890917325833
5294.25,5295.15,10.422222222222224,-0.3111111111111111,-0.3,10.431227739059231
5295.25,5295.25,10.24,-0.3299999999999999,-0.2999999999999999,10.249810522689703
5295.25,5295.35,9.93,-0.2999999999999999,-0.2999999999999999,9.9390620668557
5295.25,5295.45,9.53,-0.3199999999999999,-0.2999999999999999,9.540180105847508
5295.25,5295.55,9.44,-0.4,-0.2999999999999999,9.453233196008776
5295.25,5295.65,9.622222222222224,-0.4333333333333333,-0.3,9.636753784323822
5295.25,5295.75,9.766666666666666,-0.5,-0.2555555555555556,9.782925799646218
5295.25,5295.85,9.830000000000002,-0.5,-0.23,9.845504084153664
5295.25,5295.95,9.85,-0.53,-0.2,9.866385531605324
5295.25,5296.05,9.845454545454547,-0.5999999999999999,-0.2,9.865748090571229
5295.25,5296.15,9.9,-0.6,-0.1222222222222222,9.919005306553393
