mission_time,x,y,z,magnitude
5440.47,29550,27599,16800,43785.24067536914
5440.49,30450,26699,17100,43959.63035558875
5440.51,30450,25650,18000,43693.534990888525
5440.53,30599,26699,18900,44792.24711933975
5440.55,30450,26400,18750,44449.128225421926
5440.57,29850,26249,18300,43759.8274790932
5440.59,30300,28350,19350,45784.659002770786
5440.61,30000,28500,18750,45429.203162723425
5440.63,29850,28950,19200,45801.36460849174
5440.65,29400,30450,19050,46416.214839213244
5440.66,29400,30900,19800,47023.504760917174
5440.68,28800,-32536,20400,48001.99262530671
5440.7,29249,-31936,19500,47493.81114419014
5440.72,29100,-31936,19949,47588.661433160734
5440.74,30750,-32536,20250,49134.675087966134
5440.76,29249,31500,20850,47775.27081032613
5440.78,30450,30000,21000,47625.64960186895
5440.799,31050,27599,19800,46020.07497820924
5440.82,31350,27000,19800,45867.88091900475
5440.84,31500,24750,20100,44819.88955809686
5440.86,30750,24000,19350,43542.90987060925
5440.88,31650,20850,19650,42691.53897436821
5440.9,31200,18900,19350,41292.52353634977
5440.92,31050,18450,19050,40833.90135659339
5440.94,31500,17850,18750,40772.96898681772
5440.96,30150,17250,17400,38850.28957421039
5440.98,31050,17400,17100,39487.624643677926
5441.0,30150,16650,16650,38255.29375132284
5441.02,30150,17100,16050,38197.31665968174
5441.04,29400,16800,15450,37219.652067153984
5441.06,29850,17850,14400,37643.12686268238
5441.07,29100,18450,14100,37229.323120357694
5441.09,28800,18450,14100,36995.30375601746
5441.11,29100,19050,13500,37309.01365621986
5441.13,28200,19949,14400,37424.09118469011
5441.15,28050,19949,13349,36918.30036716208
5441.17,28050,21600,13050,37731.4855260166
5441.19,28050,22500,13500,38409.66675200398
5441.21,29400,22949,14250,39925.920164725074
5441.23,29400,22949,14400,39979.70236257394
5441.25,29249,22050,15450,39754.358264220544
5441.27,30000,20700,15750,39705.82450976179
5441.29,30450,19050,17100,39780.83709526485
5441.31,30900,18750,18600,40648.892973856004
5441.33,31500,18150,18450,40768.55405824445
5441.35,30900,16500,19800,40238.04170185224
5441.37,31500,15450,20700,40736.25535073149
5441.39,32250,14849,21300,41403.44552087423
5441.41,32250,13050,22800,41595.73295423462
5441.43,31950,13200,23850,41998.392826392774
5441.45,32400,12600,24600,42587.32205715687
5441.46,31800,12150,24000,41651.6806383608
5441.48,32100,11400,24150,41756.346822968124
5441.5,32250,11550,24750,42261.4185753389
5441.52,31350,10650,25650,41882.782858831146
5441.54,31500,10950,25050,41709.171653246725
5441.56,31800,10200,25800,42200.94785665365
5441.58,32400,10500,25050,42278.98414105996
5441.6,32550,10200,25650,42678.62462638645
5441.62,32700,9600,25350,42474.37462753277
5441.64,32250,9600,25650,42310.10517595058
5441.66,32100,9900,25650,42265.14521446721
5441.68,32700,9450,25350,42440.723368010586
5441.7,32400,8850,27000,43093.88007594582
5441.72,32550,8400,26550,42836.49145296566
5441.74,31950,7800,28050,43225.513299439255
5441.76,32100,6750,28500,43453.68223752735
5441.78,31800,6750,29699,44032.18256003215
5441.8,31500,6000,31200,44740.2503345701
5441.82,32100,4350,-32536,45912.13125090143
5441.84,31350,4950,-32536,45452.35193034569
5441.86,31500,3900,-30586,44079.05847451826
5441.87,31050,3300,-30436,43604.38734806396
5441.89,30750,2250,-30286,43218.82455597329
5441.91,30599,1650,-28936,42146.33313824585
5441.93,30150,750,-28786,41691.95121363355
