mission_time,latitude,longitude
5708.64,47.9526496,-81.8105856
5708.69,47.9526528,-81.8105728
5708.72,47.9526528,-81.8105728
5708.79,47.9526592,-81.81056
5708.8,47.9526592,-81.81056
5708.89,47.9526592,-81.81056
5708.89,47.9526624,-81.8105472
5708.97,47.9526624,-81.8105472
5709.0,47.952672,-81.8105408
5709.06,47.952672,-81.8105408
5709.1,47.9526752,-81.8105216
5709.14,47.9526752,-81.8105216
5709.2,47.9526816,-81.8105152
5709.22,47.9526816,-81.8105152
5709.3,47.9526848,-81.8105088
5709.3,47.9526848,-81.8105088
5709.38,47.9526848,-81.8105088
5709.39,47.9526944,-81.810496
5709.47,47.9526944,-81.810496
5709.49,47.9526976,-81.8104832
5709.56,47.9526976,-81.8104832
5709.59,47.952704,-81.8104704
5709.64,47.952704,-81.8104704
5709.69,47.9527136,-81.810464
5709.72,47.9527136,-81.810464
5709.79,47.9527168,-81.8104576
5709.8,47.9527168,-81.8104576
5709.88,47.9527168,-81.8104576
5709.89,47.9527232,-81.8104384
5709.97,47.9527232,-81.8104384
5710.0,47.9527296,-81.810432
5710.06,47.9527296,-81.810432
5710.09,47.952736,-81.8104256
5710.13,47.952736,-81.8104256
5710.19,47.9527424,-81.8104064
5710.21,47.9527424,-81.8104064
5710.29,47.9527424,-81.8104064
5710.29,47.9527488,-81.8104
5710.38,47.9527488,-81.8104
5710.39,47.9527552,-81.8103872
5710.46,47.9527552,-81.8103872
5710.49,47.9527584,-81.8103808
5710.55,47.9527584,-81.8103808
5710.59,47.952768,-81.8103744
5710.64,47.952768,-81.8103744
5710.69,47.9527712,-81.8103616
5710.71,47.9527712,-81.8103616
5710.79,47.9527776,-81.8103488
5710.79,47.9527776,-81.8103488
5710.879,47.9527776,-81.8103488
5710.89,47.9527808,-81.8103424
5710.96,47.9527808,-81.8103424
5710.99,47.952784,-81.8103232
5711.04,47.952784,-81.8103232
5711.09,47.9527936,-81.8103168
5711.13,47.9527936,-81.8103168
5711.19,47.9527968,-81.8103104
5711.2,47.9527968,-81.8103104
5711.29,47.9527968,-81.8103104
5711.29,47.9528032,-81.8102976
5711.37,47.9528032,-81.8102976
5711.4,47.9528096,-81.8102784
5711.46,47.9528096,-81.8102784
5711.49,47.952816,-81.810272
5711.55,47.952816,-81.810272
5711.59,47.9528192,-81.8102592
5711.62,47.9528192,-81.8102592
5711.69,47.9528288,-81.8102464
5711.7,47.9528288,-81.8102464
5711.79,47.9528288,-81.8102464
5711.79,47.952832,-81.8102336
5711.87,47.952832,-81.8102336
5711.89,47.9528352,-81.8102272
5711.96,47.9528352,-81.8102272
5711.99,47.9528384,-81.810208
5712.04,47.9528384,-81.810208
5712.09,47.952848,-81.8102016
5712.12,47.952848,-81.8102016
5712.2,47.9528512,-81.8101888
5712.2,47.9528512,-81.8101888
5712.29,47.9528512,-81.8101888
5712.29,47.9528544,-81.8101824
5712.37,47.9528544,-81.8101824
5712.39,47.9528608,-81.8101632
5712.46,47.9528608,-81.8101632
5712.49,47.9528672,-81.8101568
5712.53,47.9528672,-81.8101568
5712.59,47.9528704,-81.8101504
5712.62,47.9528704,-81.8101504
5712.69,47.9528736,-81.8101376
5712.7,47.9528736,-81.8101376
5712.79,47.9528736,-81.8101376
5712.79,47.95288,-81.8101248
5712.87,47.95288,-81.8101248
5712.89,47.9528896,-81.8101184
5712.95,47.9528896,-81.8101184
5713.0,47.9528928,-81.810112
5713.03,47.9528928,-81.810112
5713.09,47.952896,-81.8100992
5713.12,47.952896,-81.8100992
5713.2,47.9529024,-81.8100864
