mission_time,celsius
5467.95,21.81
5468.02,21.81
5468.09,21.81
5468.16,21.81
5468.23,21.82
5468.3,21.82
5468.37,21.82
5468.44,21.82
5468.51,21.82
5468.58,21.81
5468.65,21.8
5468.72,21.8
5468.79,21.79
5468.86,21.79
5468.93,21.78
5469.0,21.78
5469.07,21.78
5469.14,21.77
5469.21,21.78
5469.28,21.78
5469.35,21.78
5469.42,21.78
5469.49,21.78
5469.56,21.78
5469.63,21.77
5469.7,21.77
5469.77,21.77
5469.84,21.77
5469.91,21.77
5469.98,21.77
5470.05,21.77
5470.12,21.77
5470.19,21.76
5470.26,21.75
5470.33,21.75
5470.4,21.75
5470.47,21.76
5470.54,21.76
5470.61,21.76
5470.68,21.76
5470.75,21.77
5470.82,21.77
5470.89,21.77
5470.96,21.77
5471.03,21.77
5471.1,21.77
5471.17,21.77
5471.24,21.77
5471.31,21.77
5471.38,21.77
5471.45,21.76
5471.519,21.76
5471.59,21.76
5471.66,21.76
5471.73,21.76
5471.8,21.76
5471.87,21.75
5471.94,21.75
5472.01,21.75
5472.08,21.74
5472.15,21.74
5472.22,21.73
5472.29,21.73
5472.36,21.72
5472.43,21.72
5472.5,21.72
5472.57,21.72
5472.64,21.71
5472.71,21.71
5472.78,21.71
5472.85,21.71
5472.92,21.7
5472.99,21.7
5473.06,21.69
5473.13,21.69
5473.2,21.69
5473.27,21.68
5473.34,21.68
5473.41,21.68
5473.48,21.67
5473.55,21.67
5473.62,21.66
5473.69,21.66
5473.76,21.66
5473.83,21.65
5473.9,21.64
5473.97,21.63
5474.04,21.61
5474.11,21.6
5474.18,21.6
5474.25,21.61
5474.32,21.61
5474.39,21.63
5474.46,21.64
5474.53,21.65
5474.6,21.65
5474.67,21.65
5474.74,21.65
5474.81,21.65
5474.88,21.65
5474.95,21.64
5475.02,21.62
5475.09,21.59
5475.16,21.58
5475.23,21.58
5475.3,21.6
5475.37,21.62
5475.44,21.63
5475.51,21.63
5475.58,21.62
5475.65,21.62
5475.72,21.6
5475.79,21.59
5475.86,21.59
5475.93,21.6
5475.999,21.6
5476.07,21.6
5476.14,21.6
5476.21,21.6
5476.28,21.59
5476.35,21.59
5476.42,21.57
5476.49,21.54
5476.56,21.53
5476.63,21.53
5476.7,21.52
5476.77,21.53
5476.84,21.53
5476.91,21.53
5476.98,21.53
5477.05,21.54
5477.12,21.54
5477.19,21.55
5477.26,21.55
5477.33,21.56
5477.4,21.56
5477.47,21.56
5477.54,21.55
5477.61,21.55
5477.68,21.55
5477.75,21.54
5477.82,21.53
5477.89,21.5
5477.96,21.49
5478.03,21.5
5478.1,21.5
5478.17,21.51
5478.24,21.51
5478.31,21.51
5478.38,21.51
5478.45,21.51
5478.52,21.51
5478.59,21.5
5478.66,21.48
5478.73,21.46
5478.8,21.45
5478.87,21.46
5478.94,21.48
5479.01,21.49
5479.08,21.49
5479.15,21.49
5479.22,21.49
5479.29,21.48
5479.36,21.46
5479.43,21.43
5479.5,21.43
5479.57,21.44
5479.64,21.46
5479.71,21.46
5479.78,21.47
5479.85,21.47
5479.92,21.47
5479.99,21.47
5480.06,21.47
5480.13,21.47
5480.2,21.47
5480.27,21.46
5480.34,21.45
5480.41,21.43
5480.479,21.42
5480.55,21.41
5480.62,21.4
5480.69,21.41
5480.76,21.41
5480.83,21.41
5480.9,21.41
5480.97,21.42
5481.04,21.42
5481.11,21.43
5481.18,21.43
5481.25,21.43
5481.32,21.43
5481.39,21.43
5481.46,21.43
5481.53,21.42
5481.6,21.42
5481.67,21.42
5481.74,21.42
5481.81,21.41
5481.88,21.41
5481.95,21.41
5482.02,21.41
5482.09,21.4
5482.16,21.39
5482.23,21.38
5482.3,21.36
5482.37,21.36
5482.44,21.36
5482.51,21.37
5482.58,21.37
5482.65,21.37
5482.72,21.37
5482.79,21.37
5482.86,21.36
5482.93,21.36
5483.0,21.36
5483.07,21.36
5483.14,21.36
5483.21,21.35
5483.28,21.35
5483.35,21.35
5483.42,21.34
5483.49,21.34
5483.56,21.34
5483.63,21.33
5483.7,21.33
5483.77,21.33
5483.84,21.32
5483.91,21.31
5483.98,21.31
5484.05,21.3
5484.12,21.29
5484.19,21.28
5484.26,21.27
5484.33,21.27
5484.4,21.26
5484.47,21.26
5484.54,21.26
5484.61,21.26
5484.68,21.25
5484.75,21.26
5484.82,21.26
5484.89,21.26
5484.959,21.26
5485.03,21.26
5485.1,21.26
5485.17,21.26
5485.24,21.26
5485.31,21.26
5485.38,21.26
5485.45,21.25
5485.52,21.25
5485.59,21.25
5485.66,21.25
5485.73,21.25
5485.8,21.25
5485.87,21.25
5485.94,21.25
5486.01,21.25
5486.08,21.25
5486.15,21.25
5486.22,21.25
5486.29,21.25
5486.36,21.24
5486.43,21.24
5486.5,21.23
5486.57,21.22
5486.64,21.22
5486.71,21.2
5486.78,21.19
5486.85,21.19
5486.92,21.18
5486.99,21.18
5487.06,21.18
5487.13,21.18
5487.2,21.18
5487.27,21.18
5487.34,21.18
5487.41,21.18
5487.48,21.18
5487.55,21.19
5487.62,21.18
5487.69,21.18
5487.76,21.18
5487.83,21.17
5487.9,21.17
5487.97,21.17
5488.04,21.16
5488.11,21.16
5488.18,21.16
5488.25,21.16
5488.32,21.16
5488.39,21.16
5488.46,21.17
5488.53,21.17
5488.6,21.16
5488.67,21.15
5488.74,21.14
5488.81,21.13
5488.88,21.12
5488.95,21.12
5489.02,21.12
5489.09,21.13
5489.16,21.14
5489.23,21.15
5489.3,21.15
5489.37,21.15
5489.439,21.14
5489.51,21.14
5489.58,21.14
5489.65,21.13
5489.72,21.12
5489.79,21.11
5489.86,21.09
5489.93,21.09
5490.0,21.09
5490.07,21.1
5490.14,21.1
5490.21,21.11
5490.28,21.11
5490.35,21.12
5490.42,21.12
5490.49,21.11
5490.56,21.11
5490.63,21.1
5490.7,21.1
5490.77,21.1
5490.84,21.09
5490.91,21.08
5490.98,21.07
5491.05,21.07
5491.12,21.08
5491.19,21.09
5491.26,21.09
5491.33,21.09
5491.4,21.09
5491.47,21.08
5491.54,21.08
5491.61,21.07
5491.68,21.06
5491.75,21.06
5491.82,21.05
5491.89,21.04
5491.96,21.03
5492.03,21.03
5492.1,21.02
5492.17,21.02
5492.24,21.03
5492.31,21.04
5492.38,21.05
5492.45,21.05
5492.52,21.05
5492.59,21.05
5492.66,21.05
5492.73,21.05
5492.8,21.04
5492.87,21.04
5492.94,21.04
5493.01,21.04
5493.08,21.03
5493.15,21.03
5493.22,21.03
5493.29,21.02
5493.36,21.02
5493.43,21.01
5493.5,21.0
5493.57,21.0
5493.64,21.0
5493.71,20.99
5493.78,20.99
5493.85,20.98
5493.919,20.98
5493.99,20.97
5494.06,20.96
5494.13,20.96
5494.2,20.96
5494.27,20.97
5494.34,20.98
5494.41,20.99
5494.48,20.99
5494.55,20.99
5494.62,20.99
5494.69,20.99
5494.76,20.99
5494.83,20.98
5494.9,20.98
5494.97,20.97
5495.04,20.97
5495.11,20.97
5495.18,20.97
5495.25,20.96
5495.32,20.96
5495.39,20.96
5495.46,20.95
5495.53,20.95
5495.6,20.95
5495.67,20.94
5495.74,20.94
5495.81,20.94
5495.88,20.93
5495.95,20.93
5496.02,20.93
5496.09,20.93
5496.16,20.93
5496.23,20.92
5496.3,20.92
5496.37,20.92
5496.44,20.92
5496.51,20.92
5496.58,20.92
5496.65,20.92
5496.72,20.91
5496.79,20.91
5496.86,20.91
5496.93,20.91
5497.0,20.9
5497.07,20.9
5497.14,20.9
5497.21,20.9
5497.28,20.89
5497.35,20.89
5497.42,20.88
5497.49,20.88
5497.56,20.88
5497.63,20.88
5497.7,20.88
5497.77,20.88
5497.84,20.87
5497.91,20.87
5497.98,20.87
5498.05,20.87
5498.12,20.86
5498.19,20.86
5498.26,20.86
5498.33,20.85
5498.399,20.85
5498.47,20.84
5498.54,20.84
5498.61,20.83
5498.68,20.82
5498.75,20.81
5498.82,20.8
5498.89,20.79
5498.96,20.78
5499.03,20.77
5499.1,20.77
5499.17,20.78
5499.24,20.79
5499.31,20.79
5499.38,20.8
5499.45,20.81
5499.52,20.81
5499.59,20.81
5499.66,20.81
5499.73,20.81
5499.8,20.81
5499.87,20.81
5499.94,20.81
5500.01,20.8
5500.08,20.8
5500.15,20.8
5500.22,20.8
5500.29,20.8
5500.36,20.79
5500.43,20.79
5500.5,20.78
5500.57,20.78
5500.64,20.77
5500.71,20.76
5500.78,20.75
5500.85,20.74
5500.92,20.74
5500.99,20.73
5501.06,20.73
5501.13,20.72
5501.2,20.73
5501.27,20.73
5501.34,20.73
5501.41,20.73
5501.48,20.73
5501.55,20.73
5501.62,20.73
5501.69,20.73
5501.76,20.73
5501.83,20.73
5501.9,20.73
5501.97,20.73
5502.04,20.73
5502.11,20.73
5502.18,20.72
5502.25,20.72
5502.32,20.72
5502.39,20.72
5502.46,20.71
5502.53,20.71
5502.6,20.71
5502.67,20.71
5502.74,20.7
5502.81,20.7
5502.879,20.7
5502.95,20.7
5503.02,20.7
5503.09,20.69
5503.16,20.69
5503.23,20.69
5503.3,20.68
5503.37,20.68
5503.44,20.67
5503.51,20.67
5503.58,20.67
5503.65,20.66
5503.72,20.66
5503.79,20.66
5503.86,20.66
5503.93,20.65
5504.0,20.65
5504.07,20.65
5504.14,20.65
5504.21,20.65
5504.28,20.65
5504.35,20.64
5504.42,20.64
5504.49,20.64
5504.56,20.64
5504.63,20.63
5504.7,20.64
5504.77,20.63
5504.84,20.63
5504.91,20.62
5504.98,20.61
5505.05,20.61
5505.12,20.6
5505.19,20.6
